index,cwe,total_count
1,CWE-79,261
2,CWE-863,140
3,CWE-200,98
4,CWE-770,95
5,CWE-862,82 
6,CWE-1333,66 
7,CWE-400,57 
8,CWE-918,53 
9,CWE-639,49
10,CWE-22,48
11,CWE-352,35
12,CWE-732,31
13,CWE-20,29
14,CWE-284,27
15,CWE-601,24
16,CWE-287,24
17,CWE-532,23
18,CWE-94,19
19,CWE-209,17
20,CWE-269,16
21,CWE-77,16
22,CWE-264,16
23,CWE-201,14
24,CWE-502,13
25,CWE-116,12
26,CWE-1284,12
27,CWE-276,12
28,CWE-306,10
29,CWE-1220,10
30,CWE-312,10
