project,2.0,3.0,3.1
argo_cd,0,0,48
azure_devops,0,14,24
bamboo,0,15,9
github,1,1,129
gitlab,7,120,1202
jenkins,51,67,136
teamcity,2,7,247
tekton,0,0,8
travis_ci,0,0,1
